id_student,id_assessment,date_submitted,is_banked,score
25,DDD_5,53,0,83.2
26,BBB_1,89,1,68.6
26,BBB_2,161,1,65.5
26,BBB_3,157,0,76.8
26,BBB_4,87,0,57.2
27,BBB_1,125,1,68.5
27,BBB_2,122,1,33.5
27,BBB_3,163,1,46.0
27,BBB_4,71,1,49.0
27,BBB_5,,0,
28,BBB_1,,0,
28,BBB_2,188,1,89.2
29,DDD_1,148,1,93.7
29,DDD_2,6,1,94.4
29,DDD_3,2,1,66.7
30,BBB_1,98,1,97.8
30,BBB_2,,0,
30,BBB_3,190,0,79.1
30,BBB_4,182,1,100
31,AAA_1,93,0,75.2
31,AAA_2,190,0,84.1
31,AAA_3,193,1,56.4
32,AAA_1,132,0,79.5
32,AAA_2,77,0,60.3
33,BBB_1,67,1,98.4
33,BBB_2,93,0,97.5
34,CCC_1,104,1,38.2
34,CCC_2,185,0,50.8
34,CCC_3,53,1,35.7
34,CCC_4,16,0,66.4
34,CCC_5,10,0,41.4
35,CCC_1,145,0,70.2
35,CCC_2,150,1,64.8
35,CCC_3,14,1,70.1
35,CCC_4,62,1,73.8
35,CCC_5,93,1,49.6
36,DDD_1,185,1,76.8
36,DDD_2,138,1,74.5
36,DDD_3,67,1,80.9
36,DDD_4,20,1,50.0
36,DDD_5,63,1,53.1
36,DDD_6,25,0,45.7
37,BBB_1,145,1,52.8
37,BBB_2,34,1,39.2
37,BBB_3,181,1,70.0
37,BBB_4,18,1,35.0
38,AAA_1,200,0,86.8
38,AAA_2,185,0,68.6
38,AAA_3,148,0,90.7
39,AAA_1,19,1,63.8
39,AAA_2,57,1,100
39,AAA_3,153,0,99.9
39,AAA_4,10,1,96.3
39,AAA_5,19,1,68.1
40,AAA_1,32,1,39.0
40,AAA_2,9,1,46.6
40,AAA_3,,1,
41,AAA_1,192,1,73.5
41,AAA_2,112,0,64.2
41,AAA_3,20,1,70.4
41,AAA_4,12,1,43.9
41,AAA_5,134,0,59.2
41,AAA_6,22,1,55.0
42,CCC_1,,0,
42,CCC_2,4,1,87.2
42,CCC_3,104,0,75.4
42,CCC_4,39,0,64.7
42,CCC_5,94,1,83.2
42,CCC_6,178,1,74.7
43,BBB_1,192,1,85.3
43,BBB_2,139,1,73.0
43,BBB_3,119,1,73.3
43,BBB_4,39,0,96.5
44,DDD_1,113,0,69.9
44,DDD_2,,1,
44,DDD_3,158,1,42.8
44,DDD_4,152,1,56.5
45,BBB_1,92,1,60.3
45,BBB_2,,0,
45,BBB_3,65,0,86.5
45,BBB_4,29,1,62.6
45,BBB_5,18,0,83.6
46,DDD_1,60,0,32.4
46,DDD_2,106,0,35.0
46,DDD_3,57,1,62.3
46,DDD_4,69,0,50.1
46,DDD_5,187,1,57.3
47,BBB_1,,0,
47,BBB_2,62,0,63.8
47,BBB_3,152,1,84.3
47,BBB_4,164,0,93.5
47,BBB_5,199,0,70.3
47,BBB_6,153,1,82.6
48,BBB_1,81,1,47.5
48,BBB_2,129,0,47.6
48,BBB_3,12,0,67.4
48,BBB_4,81,0,43.4
48,BBB_5,140,1,46.2
48,BBB_6,1,0,57.7
49,BBB_1,197,1,60.2
49,BBB_2,37,0,81.6
49,BBB_3,161,0,83.2
49,BBB_4,48,0,55.4
50,CCC_1,,1,
50,CCC_2,,1,
50,CCC_3,137,0,71.9
51,AAA_1,,1,
51,AAA_2,,1,
51,AAA_3,48,1,69.4
52,BBB_1,41,0,99.8
52,BBB_2,194,1,72.3
53,BBB_1,63,1,80.1
53,BBB_2,172,0,85.0
53,BBB_3,32,1,79.5
53,BBB_4,172,1,90.0
53,BBB_5,180,0,68.2
54,CCC_1,23,0,72.1
54,CCC_2,62,0,100
55,AAA_1,159,1,58.0
55,AAA_2,33,0,60.5
55,AAA_3,117,0,69.1
55,AAA_4,199,1,36.0
55,AAA_5,163,1,53.7
55,AAA_6,98,0,60.1
56,CCC_1,41,1,75.0
56,CCC_2,184,1,83.4
56,CCC_3,156,0,78.4
57,DDD_1,1,0,67.8
57,DDD_2,107,0,68.9
58,AAA_1,129,0,56.4
58,AAA_2,194,1,79.6
58,AAA_3,87,0,85.2
58,AAA_4,109,1,76.4
59,AAA_1,63,1,67.6
59,AAA_2,91,1,60.9
59,AAA_3,131,0,58.4
59,AAA_4,193,1,72.7
59,AAA_5,84,1,67.3
60,AAA_1,164,1,84.9
60,AAA_2,171,0,90.5
60,AAA_3,52,0,56.3
61,AAA_1,1,1,79.0
61,AAA_2,115,1,66.0
61,AAA_3,190,1,77.0
61,AAA_4,,1,
61,AAA_5,41,0,87.6
62,CCC_1,99,1,63.6
62,CCC_2,95,1,54.1
62,CCC_3,112,0,84.4
62,CCC_4,61,0,62.9
62,CCC_5,60,1,65.1
62,CCC_6,190,1,54.5
63,CCC_1,61,1,80.8
63,CCC_2,193,1,84.2
63,CCC_3,24,1,85.6
63,CCC_4,185,0,80.7
64,DDD_1,97,0,78.6
64,DDD_2,149,1,53.2
65,BBB_1,75,1,51.8
65,BBB_2,130,0,48.1
65,BBB_3,196,1,68.4
65,BBB_4,181,1,52.5
65,BBB_5,39,1,58.0
66,CCC_1,30,0,48.1
66,CCC_2,,0,
67,CCC_1,47,0,77.0
67,CCC_2,39,0,54.9
67,CCC_3,113,0,49.9
68,DDD_1,,1,
68,DDD_2,133,0,50.2
68,DDD_3,58,0,39.4
68,DDD_4,142,0,70.5
68,DDD_5,133,0,58.6
69,BBB_1,3,0,71.9
69,BBB_2,55,0,58.2
69,BBB_3,149,0,65.4
69,BBB_4,74,1,68.8
69,BBB_5,37,0,34.8
70,DDD_1,107,1,74.9
70,DDD_2,,1,
70,DDD_3,123,1,73.3
70,DDD_4,70,0,81.7
70,DDD_5,120,0,60.0
70,DDD_6,192,0,56.6
71,AAA_1,147,0,70.9
71,AAA_2,73,0,42.6
71,AAA_3,98,1,35.0
72,AAA_1,44,1,48.5
72,AAA_2,84,0,68.8
72,AAA_3,24,1,76.2
72,AAA_4,36,1,58.0
73,BBB_1,2,1,80.3
73,BBB_2,136,1,68.3
73,BBB_3,70,0,59.8
73,BBB_4,82,1,74.7
73,BBB_5,189,0,76.3
73,BBB_6,56,0,65.3
74,AAA_1,75,1,59.6
74,AAA_2,43,0,66.5
75,AAA_1,196,0,65.4
75,AAA_2,137,0,71.5
76,CCC_1,53,1,43.1
76,CCC_2,56,1,53.4
76,CCC_3,43,1,51.7
76,CCC_4,57,0,72.4
77,CCC_1,121,0,66.8
77,CCC_2,66,0,69.7
77,CCC_3,152,1,80.3
77,CCC_4,10,0,77.9
77,CCC_5,67,1,90.4
78,AAA_1,115,0,70.7
78,AAA_2,142,0,53.6
79,AAA_1,142,0,70.0
79,AAA_2,,1,
80,DDD_1,196,0,49.5
80,DDD_2,131,0,33.2
80,DDD_3,24,0,52.7
81,DDD_1,136,0,71.8
81,DDD_2,104,1,58.3
81,DDD_3,100,1,44.2
81,DDD_4,134,1,65.5
82,DDD_1,131,0,87.4
82,DDD_2,4,0,73.3
82,DDD_3,93,1,75.1
82,DDD_4,178,0,84.3
82,DDD_5,88,1,82.7
83,BBB_1,4,0,71.0
83,BBB_2,82,1,100
83,BBB_3,4,0,82.4
83,BBB_4,172,0,87.6
83,BBB_5,131,0,96.6
83,BBB_6,,0,
84,AAA_1,19,1,67.8
84,AAA_2,141,1,75.5
84,AAA_3,,0,
85,CCC_1,,0,
85,CCC_2,38,0,72.8
85,CCC_3,102,0,39.7
85,CCC_4,41,1,39.3
85,CCC_5,195,0,70.2
85,CCC_6,34,1,62.2
86,CCC_1,178,0,72.6
86,CCC_2,72,0,74.4
87,CCC_1,115,1,63.3
87,CCC_2,34,0,85.7
87,CCC_3,138,0,61.2
88,DDD_1,86,1,59.5
88,DDD_2,,1,
88,DDD_3,124,1,71.6
88,DDD_4,101,1,67.7
88,DDD_5,18,1,81.5
89,BBB_1,,0,
89,BBB_2,32,1,87.0
90,BBB_1,51,0,37.7
90,BBB_2,199,1,39.5
90,BBB_3,146,0,60.6
90,BBB_4,40,0,34.7
91,DDD_1,164,0,65.4
91,DDD_2,73,0,59.6
91,DDD_3,71,1,71.4
92,CCC_1,40,1,93.0
92,CCC_2,121,1,78.9
92,CCC_3,47,0,69.9
92,CCC_4,,0,
93,CCC_1,81,0,89.3
93,CCC_2,106,1,97.4
94,AAA_1,147,0,85.9
94,AAA_2,139,0,100
94,AAA_3,,1,
95,DDD_1,3,0,85.8
95,DDD_2,30,0,100
95,DDD_3,28,1,97.4
95,DDD_4,91,0,75.0
96,CCC_1,38,1,62.9
96,CCC_2,,0,
97,DDD_1,170,1,62.4
97,DDD_2,48,1,46.3
97,DDD_3,165,0,58.7
97,DDD_4,36,1,80.5
97,DDD_5,,1,
98,BBB_1,24,1,40.7
98,BBB_2,109,1,35.9
98,BBB_3,177,1,55.1
98,BBB_4,198,0,51.2
98,BBB_5,193,1,48.7
98,BBB_6,119,0,60.9
99,BBB_1,11,0,87.9
99,BBB_2,178,1,60.3
99,BBB_3,32,0,54.9
100,BBB_1,54,1,89.2
100,BBB_2,25,1,64.8
100,BBB_3,49,0,69.5
101,CCC_1,5,0,81.7
101,CCC_2,168,1,72.1
102,AAA_1,121,0,68.4
102,AAA_2,155,0,64.3
102,AAA_3,100,1,77.5
102,AAA_4,63,1,70.7
102,AAA_5,,1,
102,AAA_6,99,1,61.6
103,CCC_1,105,0,82.7
103,CCC_2,36,1,85.2
103,CCC_3,8,0,53.5
103,CCC_4,156,1,85.2
103,CCC_5,107,0,84.0
104,DDD_1,81,0,93.1
104,DDD_2,30,1,95.5
105,CCC_1,161,0,62.5
105,CCC_2,148,0,57.9
105,CCC_3,151,1,42.7
105,CCC_4,23,1,73.4
105,CCC_5,90,0,51.5
105,CCC_6,95,1,57.7
106,CCC_1,33,0,50.8
106,CCC_2,89,1,76.3
106,CCC_3,160,0,62.6
106,CCC_4,117,0,70.0
106,CCC_5,74,1,89.2
106,CCC_6,113,0,54.8
107,CCC_1,132,0,70.7
107,CCC_2,34,1,48.3
107,CCC_3,166,1,51.5
107,CCC_4,89,1,54.7
107,CCC_5,13,0,50.2
107,CCC_6,34,0,78.0
108,BBB_1,81,1,98.3
108,BBB_2,153,0,80.6
108,BBB_3,109,0,70.5
108,BBB_4,168,1,73.2
109,CCC_1,,0,
109,CCC_2,,0,
109,CCC_3,,0,
109,CCC_4,120,1,89.7
110,AAA_1,41,0,72.5
110,AAA_2,159,1,89.0
111,DDD_1,19,1,50.0
111,DDD_2,117,0,43.7
111,DDD_3,89,1,74.9
111,DDD_4,194,0,53.7
111,DDD_5,33,1,70.6
112,BBB_1,183,0,100
112,BBB_2,165,0,82.2
112,BBB_3,,0,
112,BBB_4,50,0,100
113,DDD_1,15,1,67.5
113,DDD_2,15,0,66.4
113,DDD_3,147,0,89.0
114,AAA_1,84,0,88.7
114,AAA_2,134,0,85.9
114,AAA_3,199,1,79.0
114,AAA_4,147,1,61.3
115,CCC_1,152,0,72.8
115,CCC_2,53,1,95.3
115,CCC_3,,1,
116,AAA_1,183,1,61.2
116,AAA_2,74,0,77.5
116,AAA_3,10,1,82.5
116,AAA_4,118,1,59.6
116,AAA_5,3,1,58.4
117,AAA_1,191,0,50.9
117,AAA_2,140,0,67.5
117,AAA_3,105,0,67.7
117,AAA_4,10,1,89.2
117,AAA_5,36,0,78.2
117,AAA_6,179,1,51.7
118,AAA_1,144,0,75.6
118,AAA_2,54,1,60.3
118,AAA_3,186,1,86.5
119,AAA_1,45,1,76.6
119,AAA_2,54,1,82.7
120,BBB_1,192,0,53.1
120,BBB_2,61,0,48.3
120,BBB_3,23,1,56.7
120,BBB_4,89,0,69.6
120,BBB_5,196,0,42.5
120,BBB_6,134,1,34.8
121,AAA_1,,0,
121,AAA_2,157,1,62.2
121,AAA_3,109,1,38.6
121,AAA_4,44,1,61.8
121,AAA_5,45,0,74.5
122,DDD_1,10,1,64.6
122,DDD_2,100,0,54.2
122,DDD_3,,1,
122,DDD_4,91,1,53.3
122,DDD_5,,0,
122,DDD_6,52,1,69.0
123,BBB_1,123,1,55.5
123,BBB_2,104,1,43.6
123,BBB_3,169,1,42.2
123,BBB_4,113,1,46.9
124,AAA_1,47,1,92.0
124,AAA_2,73,1,92.3
124,AAA_3,81,1,73.4
124,AAA_4,83,1,94.2
124,AAA_5,116,0,80.7
124,AAA_6,148,0,95.3
125,BBB_1,8,1,65.4
125,BBB_2,30,1,96.1
125,BBB_3,112,0,86.7
125,BBB_4,99,0,83.9
125,BBB_5,135,0,67.7
126,CCC_1,19,1,55.3
126,CCC_2,,0,
126,CCC_3,38,1,71.1
127,CCC_1,151,1,73.1
127,CCC_2,,1,
127,CCC_3,189,1,55.0
127,CCC_4,74,1,70.1
128,AAA_1,138,1,67.0
128,AAA_2,147,1,73.9
128,AAA_3,126,0,59.4
129,CCC_1,181,1,59.6
129,CCC_2,38,0,65.0
129,CCC_3,164,0,39.6
129,CCC_4,,1,
129,CCC_5,188,1,50.8
129,CCC_6,196,1,38.1
130,DDD_1,142,0,48.7
130,DDD_2,4,1,77.6
131,BBB_1,71,1,73.5
131,BBB_2,47,1,100
131,BBB_3,164,1,95.8
132,DDD_1,105,0,75.2
132,DDD_2,100,0,50.5
132,DDD_3,14,0,60.9
132,DDD_4,37,0,54.6
132,DDD_5,128,1,65.7
133,BBB_1,95,0,54.2
133,BBB_2,43,1,52.6
133,BBB_3,89,0,61.9
133,BBB_4,71,1,44.6
133,BBB_5,41,1,39.2
133,BBB_6,19,1,47.0
134,BBB_1,163,0,35.5
134,BBB_2,48,0,38.1
134,BBB_3,135,0,53.1
135,AAA_1,47,0,51.4
135,AAA_2,174,1,56.8
136,AAA_1,25,0,61.0
136,AAA_2,137,1,74.2
136,AAA_3,21,0,60.2
136,AAA_4,28,0,75.9
136,AAA_5,47,1,59.1
137,AAA_1,200,1,69.7
137,AAA_2,149,1,79.5
137,AAA_3,67,0,97.4
138,AAA_1,59,1,76.6
138,AAA_2,194,0,76.4
138,AAA_3,165,0,75.1
138,AAA_4,171,0,97.4
138,AAA_5,131,1,91.9
139,BBB_1,169,0,72.3
139,BBB_2,125,0,39.2
139,BBB_3,183,0,56.8
139,BBB_4,157,0,40.9
139,BBB_5,179,1,64.1
140,AAA_1,186,0,84.7
140,AAA_2,37,1,88.0
140,AAA_3,187,1,61.7
140,AAA_4,152,0,53.8
140,AAA_5,,1,
141,AAA_1,121,1,55.4
141,AAA_2,81,0,73.0
142,DDD_1,78,1,71.4
142,DDD_2,160,1,46.7
142,DDD_3,39,1,71.4
143,BBB_1,89,0,72.1
143,BBB_2,150,0,55.7
143,BBB_3,145,1,57.5
143,BBB_4,4,1,54.5
143,BBB_5,141,1,78.5
144,BBB_1,47,1,75.5
144,BBB_2,19,0,89.6
144,BBB_3,19,0,73.9
145,BBB_1,39,1,93.8
145,BBB_2,41,1,100
145,BBB_3,28,1,91.6
145,BBB_4,191,0,73.7
145,BBB_5,116,1,98.2
145,BBB_6,,0,
146,BBB_1,61,1,45.7
146,BBB_2,80,0,41.8
146,BBB_3,95,1,62.6
146,BBB_4,142,0,53.7
146,BBB_5,15,0,61.1
147,CCC_1,39,1,94.4
147,CCC_2,149,1,58.6
147,CCC_3,194,1,90.0
147,CCC_4,148,1,67.8
148,DDD_1,68,0,71.5
148,DDD_2,121,0,73.1
148,DDD_3,129,0,64.3
148,DDD_4,84,0,73.6
148,DDD_5,185,1,67.7
148,DDD_6,77,1,62.9
149,AAA_1,,1,
149,AAA_2,136,1,79.7
149,AAA_3,51,1,100
149,AAA_4,63,1,72.1
149,AAA_5,77,0,82.9
149,AAA_6,174,0,95.7
150,AAA_1,2,1,72.6
150,AAA_2,108,0,52.6
150,AAA_3,4,0,55.0
150,AAA_4,126,1,78.0
151,BBB_1,112,0,88.8
151,BBB_2,58,0,85.7
151,BBB_3,47,0,56.6
151,BBB_4,,0,
151,BBB_5,135,0,78.4
151,BBB_6,90,0,69.6
152,CCC_1,54,0,94.7
152,CCC_2,45,0,76.6
152,CCC_3,12,0,87.4
152,CCC_4,17,0,89.9
152,CCC_5,,1,
153,BBB_1,89,0,81.1
153,BBB_2,,1,
153,BBB_3,41,0,87.1
153,BBB_4,56,0,63.1
154,BBB_1,171,1,46.6
154,BBB_2,150,0,56.0
154,BBB_3,134,0,76.8
155,CCC_1,58,0,57.4
155,CCC_2,67,0,88.1
155,CCC_3,133,0,90.1
156,BBB_1,181,1,69.4
156,BBB_2,128,1,94.0
156,BBB_3,68,0,79.7
157,DDD_1,140,0,42.4
157,DDD_2,65,1,51.1
158,CCC_1,95,1,63.5
158,CCC_2,142,1,74.1
158,CCC_3,187,1,75.9
158,CCC_4,146,0,45.1
159,CCC_1,2,0,63.9
159,CCC_2,181,0,87.3
160,CCC_1,34,0,90.9
160,CCC_2,68,0,74.0
160,CCC_3,94,1,66.1
161,AAA_1,176,0,70.7
161,AAA_2,98,1,61.1
161,AAA_3,193,1,83.2
162,CCC_1,183,0,77.4
162,CCC_2,180,1,57.1
163,DDD_1,21,1,57.4
163,DDD_2,58,0,48.6
163,DDD_3,68,0,39.5
163,DDD_4,126,1,67.5
163,DDD_5,130,0,61.7
164,CCC_1,7,0,54.5
164,CCC_2,157,0,72.8
164,CCC_3,153,1,81.3
165,BBB_1,161,0,100
165,BBB_2,79,0,100
166,DDD_1,136,1,60.6
166,DDD_2,73,1,95.6
166,DDD_3,89,1,69.1
166,DDD_4,51,0,76.0
166,DDD_5,184,0,70.7
166,DDD_6,142,0,62.3
167,BBB_1,98,0,99.8
167,BBB_2,,1,
168,BBB_1,21,0,36.6
168,BBB_2,48,0,38.3
168,BBB_3,,0,
168,BBB_4,27,0,51.3
168,BBB_5,47,1,61.4
168,BBB_6,98,1,68.4
169,BBB_1,,0,
169,BBB_2,50,1,86.9
169,BBB_3,34,1,89.1
169,BBB_4,81,0,74.1
169,BBB_5,39,0,95.6
170,AAA_1,178,1,75.6
170,AAA_2,144,1,67.3
170,AAA_3,,0,
170,AAA_4,127,1,78.1
170,AAA_5,156,0,79.0
170,AAA_6,189,0,63.7
171,AAA_1,159,1,47.0
171,AAA_2,50,0,41.0
171,AAA_3,98,1,65.9
171,AAA_4,176,0,47.9
171,AAA_5,121,0,41.0
171,AAA_6,190,0,43.7
172,AAA_1,117,0,88.3
172,AAA_2,136,1,67.9
172,AAA_3,163,1,64.8
172,AAA_4,112,0,88.1
173,AAA_1,,0,
173,AAA_2,,1,
173,AAA_3,26,0,63.3
173,AAA_4,180,1,73.3
173,AAA_5,74,0,80.1
174,BBB_1,14,1,78.4
174,BBB_2,120,1,75.9
175,AAA_1,18,0,77.3
175,AAA_2,167,0,44.5
175,AAA_3,193,0,48.8
175,AAA_4,111,1,53.3
176,AAA_1,150,0,62.9
176,AAA_2,149,1,68.7
176,AAA_3,,1,
176,AAA_4,10,1,71.5
177,BBB_1,47,1,63.7
177,BBB_2,99,0,90.2
177,BBB_3,197,1,94.3
177,BBB_4,95,0,68.7
177,BBB_5,44,1,73.0
178,AAA_1,16,1,63.4
178,AAA_2,88,1,53.8
178,AAA_3,179,1,55.2
178,AAA_4,183,1,84.2
179,BBB_1,60,1,56.0
179,BBB_2,160,1,77.3
179,BBB_3,134,1,75.6
180,CCC_1,13,1,46.3
180,CCC_2,,0,
180,CCC_3,151,1,56.4
180,CCC_4,198,1,55.3
181,AAA_1,167,0,41.5
181,AAA_2,92,1,76.8
181,AAA_3,43,1,43.4
181,AAA_4,96,1,67.6
181,AAA_5,174,0,48.0
182,BBB_1,153,1,79.2
182,BBB_2,75,0,67.3
183,BBB_1,151,0,90.0
183,BBB_2,187,1,80.2
183,BBB_3,124,1,91.5
183,BBB_4,97,1,73.3
184,CCC_1,199,0,73.6
184,CCC_2,47,0,83.3
184,CCC_3,175,0,74.0
185,BBB_1,34,1,55.7
185,BBB_2,65,1,80.7
186,AAA_1,,1,
186,AAA_2,93,0,68.0
187,DDD_1,133,0,56.6
187,DDD_2,,1,
188,BBB_1,60,0,79.2
188,BBB_2,179,1,50.3
188,BBB_3,185,0,56.6
188,BBB_4,,1,
188,BBB_5,17,1,62.8
188,BBB_6,103,1,68.9
189,CCC_1,94,0,61.6
189,CCC_2,133,1,72.8
189,CCC_3,76,0,45.6
189,CCC_4,71,1,57.3
189,CCC_5,41,0,59.6
190,BBB_1,99,1,56.1
190,BBB_2,15,1,69.0
190,BBB_3,84,1,45.6
190,BBB_4,23,0,60.7
190,BBB_5,146,1,50.6
190,BBB_6,25,0,61.9
191,DDD_1,51,0,57.0
191,DDD_2,142,1,42.4
192,BBB_1,28,1,44.7
192,BBB_2,19,1,75.7
192,BBB_3,155,1,54.8
192,BBB_4,85,0,76.2
192,BBB_5,,0,
192,BBB_6,128,1,64.9
193,CCC_1,67,1,80.6
193,CCC_2,151,1,74.1
193,CCC_3,80,1,88.4
193,CCC_4,103,1,84.7
194,CCC_1,54,1,58.1
194,CCC_2,159,1,69.2
194,CCC_3,67,1,59.5
194,CCC_4,186,1,52.1
195,AAA_1,108,0,86.2
195,AAA_2,89,1,75.9
196,BBB_1,14,0,78.4
196,BBB_2,133,1,81.2
197,DDD_1,,0,
197,DDD_2,97,1,71.8
197,DDD_3,38,0,100
197,DDD_4,9,1,100
197,DDD_5,112,1,98.6
197,DDD_6,187,1,75.6
198,DDD_1,86,1,54.5
198,DDD_2,123,0,56.8
198,DDD_3,176,1,58.6
198,DDD_4,96,1,70.2
198,DDD_5,77,1,54.9
199,BBB_1,35,1,77.1
199,BBB_2,23,0,91.7
200,CCC_1,68,1,71.1
200,CCC_2,43,0,79.2
200,CCC_3,167,1,48.7
201,DDD_1,24,0,58.6
201,DDD_2,11,1,76.9
201,DDD_3,144,0,49.4
201,DDD_4,43,0,70.9
202,BBB_1,66,0,75.3
202,BBB_2,171,0,52.3
202,BBB_3,116,1,52.3
203,BBB_1,32,1,99.4
203,BBB_2,177,0,86.0
203,BBB_3,,0,
203,BBB_4,11,1,75.2
204,DDD_1,159,0,73.9
204,DDD_2,63,1,75.6
205,AAA_1,5,1,83.4
205,AAA_2,131,0,84.8
205,AAA_3,48,1,64.7
205,AAA_4,132,0,83.0
205,AAA_5,,0,
205,AAA_6,184,0,63.2
206,BBB_1,111,0,69.1
206,BBB_2,59,0,95.3
206,BBB_3,147,1,85.6
206,BBB_4,98,0,97.5
207,AAA_1,4,1,79.0
207,AAA_2,130,0,92.8
208,BBB_1,136,1,74.1
208,BBB_2,6,1,71.3
208,BBB_3,167,1,71.6
209,AAA_1,21,1,56.8
209,AAA_2,173,0,42.8
209,AAA_3,42,0,62.7
209,AAA_4,132,1,67.8
209,AAA_5,,1,
209,AAA_6,151,0,42.5
210,CCC_1,,0,
210,CCC_2,147,1,83.8
210,CCC_3,85,0,69.9
210,CCC_4,134,1,93.2
210,CCC_5,173,0,68.2
211,AAA_1,,1,
211,AAA_2,191,1,51.7
212,BBB_1,96,0,46.6
212,BBB_2,164,0,42.1
212,BBB_3,189,0,51.8
212,BBB_4,122,0,76.5
213,CCC_1,178,1,67.2
213,CCC_2,49,1,48.5
214,DDD_1,73,1,63.8
214,DDD_2,66,1,60.4
214,DDD_3,50,0,88.6
214,DDD_4,3,0,81.4
214,DDD_5,17,0,74.5
214,DDD_6,,1,
215,BBB_1,178,1,86.3
215,BBB_2,41,1,84.6
215,BBB_3,83,1,76.8
216,BBB_1,,1,
216,BBB_2,127,1,77.5
216,BBB_3,185,0,76.3
216,BBB_4,52,0,95.4
217,AAA_1,130,1,100
217,AAA_2,,0,
217,AAA_3,116,0,86.8
217,AAA_4,133,1,77.2
217,AAA_5,25,1,100
217,AAA_6,85,1,79.2
218,BBB_1,174,0,53.9
218,BBB_2,152,1,77.5
218,BBB_3,133,0,67.3
219,BBB_1,179,1,81.8
219,BBB_2,,1,
219,BBB_3,,0,
219,BBB_4,,0,
219,BBB_5,78,0,82.4
220,DDD_1,131,0,60.7
220,DDD_2,135,1,51.2
221,CCC_1,68,0,65.7
221,CCC_2,166,0,60.6
221,CCC_3,178,0,91.8
221,CCC_4,168,0,84.8
221,CCC_5,,0,
222,DDD_1,172,0,40.0
222,DDD_2,8,0,42.9
223,CCC_1,126,0,46.4
223,CCC_2,,0,
223,CCC_3,20,0,53.4
223,CCC_4,27,0,67.4
223,CCC_5,152,1,40.5
224,BBB_1,87,0,58.1
224,BBB_2,104,0,41.9
225,BBB_1,163,0,43.0
225,BBB_2,127,0,51.3
225,BBB_3,116,1,72.4
225,BBB_4,,0,
225,BBB_5,58,0,47.8
225,BBB_6,7,0,77.2
226,BBB_1,132,1,98.3
226,BBB_2,169,0,66.7
227,BBB_1,172,0,60.8
227,BBB_2,64,0,60.7
227,BBB_3,52,0,45.6
227,BBB_4,34,1,67.2
227,BBB_5,87,1,41.0
