id_student,code_module,code_presentation,gender,region,highest_education,age_band,num_of_prev_attempts,studied_credits,final_result
26,BBB,2024J,M,Scotland,Post Graduate Qualification,35-55,0,30,Fail
27,BBB,2024J,M,North,Lower Than A Level,35-55,0,90,Withdrawn
28,BBB,2024J,M,Wales,HE Qualification,0-35,0,120,Distinction
29,DDD,2024B,F,East,Post Graduate Qualification,0-35,0,60,Pass
30,BBB,2024J,F,East,Post Graduate Qualification,55<=,2,30,Pass
31,AAA,2024J,F,North,Post Graduate Qualification,35-55,0,60,Fail
32,AAA,2024J,F,South,Post Graduate Qualification,0-35,0,30,Fail
33,BBB,2024J,F,South,Post Graduate Qualification,35-55,0,120,Pass
34,CCC,2024B,F,South,A Level or Equivalent,55<=,0,120,Withdrawn
35,CCC,2024B,F,Scotland,A Level or Equivalent,0-35,2,60,Withdrawn
36,DDD,2024B,M,North,Lower Than A Level,0-35,0,120,Fail
37,BBB,2024J,F,South,A Level or Equivalent,35-55,0,120,Withdrawn
38,AAA,2024J,M,West,A Level or Equivalent,55<=,0,60,Pass
39,AAA,2024J,F,East,Post Graduate Qualification,35-55,0,60,Pass
40,AAA,2024J,F,Wales,Lower Than A Level,0-35,0,90,Withdrawn
41,AAA,2024J,F,Wales,A Level or Equivalent,35-55,0,30,Withdrawn
42,CCC,2024B,F,Central,Lower Than A Level,55<=,2,120,Pass
43,BBB,2024J,M,East,HE Qualification,35-55,0,30,Pass
44,DDD,2024B,F,Central,A Level or Equivalent,35-55,0,120,Withdrawn
45,BBB,2024J,F,East,Lower Than A Level,35-55,0,60,Fail
46,DDD,2024B,F,North,Lower Than A Level,35-55,0,120,Fail
47,BBB,2024J,F,Wales,A Level or Equivalent,55<=,0,90,Pass
48,BBB,2024J,M,South,Lower Than A Level,55<=,0,120,Fail
49,BBB,2024J,F,East,Lower Than A Level,0-35,0,60,Withdrawn
50,CCC,2024B,M,East,Lower Than A Level,0-35,2,60,Distinction
51,AAA,2024J,F,Central,A Level or Equivalent,0-35,0,30,Distinction
52,BBB,2024J,M,Wales,A Level or Equivalent,55<=,1,90,Pass
53,BBB,2024J,M,Central,Post Graduate Qualification,35-55,1,30,Pass
54,CCC,2024B,F,East,A Level or Equivalent,35-55,1,60,Pass
55,AAA,2024J,M,North,Lower Than A Level,55<=,0,90,Fail
56,CCC,2024B,F,West,A Level or Equivalent,0-35,0,60,Withdrawn
57,DDD,2024B,M,Scotland,HE Qualification,35-55,0,90,Distinction
58,AAA,2024J,F,Wales,Lower Than A Level,0-35,2,120,Fail
59,AAA,2024J,F,East,Post Graduate Qualification,0-35,1,120,Withdrawn
60,AAA,2024J,M,Central,HE Qualification,55<=,2,90,Pass
61,AAA,2024J,F,West,Lower Than A Level,0-35,0,60,Distinction
62,CCC,2024B,M,Central,Lower Than A Level,35-55,2,60,Pass
63,CCC,2024B,F,Wales,Lower Than A Level,0-35,2,60,Distinction
64,DDD,2024B,F,East,A Level or Equivalent,55<=,0,120,Pass
65,BBB,2024J,M,West,Lower Than A Level,55<=,0,120,Fail
66,CCC,2024B,M,Wales,Lower Than A Level,0-35,0,60,Withdrawn
67,CCC,2024B,M,South,HE Qualification,55<=,1,90,Fail
68,DDD,2024B,F,North,HE Qualification,55<=,0,90,Withdrawn
69,BBB,2024J,F,North,HE Qualification,0-35,1,90,Withdrawn
70,DDD,2024B,M,Wales,HE Qualification,35-55,3,90,Fail
71,AAA,2024J,F,East,HE Qualification,35-55,1,90,Withdrawn
72,AAA,2024J,M,Scotland,A Level or Equivalent,55<=,1,60,Pass
73,BBB,2024J,F,West,Lower Than A Level,55<=,0,30,Withdrawn
74,AAA,2024J,F,Scotland,Post Graduate Qualification,55<=,1,120,Fail
75,AAA,2024J,F,Scotland,HE Qualification,0-35,0,90,Pass
76,CCC,2024B,F,East,Lower Than A Level,55<=,0,30,Withdrawn
77,CCC,2024B,M,East,A Level or Equivalent,0-35,1,120,Fail
78,AAA,2024J,M,East,Post Graduate Qualification,55<=,0,120,Withdrawn
79,AAA,2024J,F,South,A Level or Equivalent,0-35,1,30,Pass
80,DDD,2024B,F,North,Lower Than A Level,35-55,1,30,Fail
81,DDD,2024B,M,Central,Post Graduate Qualification,35-55,0,30,Withdrawn
82,DDD,2024B,M,Central,Post Graduate Qualification,55<=,0,90,Pass
83,BBB,2024J,F,Scotland,Post Graduate Qualification,55<=,0,120,Distinction
84,AAA,2024J,M,East,A Level or Equivalent,35-55,0,120,Pass
85,CCC,2024B,M,North,HE Qualification,55<=,1,60,Withdrawn
86,CCC,2024B,F,South,A Level or Equivalent,35-55,1,30,Fail
87,CCC,2024B,M,Wales,HE Qualification,55<=,1,60,Distinction
88,DDD,2024B,M,South,Lower Than A Level,0-35,0,90,Withdrawn
89,BBB,2024J,F,West,HE Qualification,0-35,3,120,Pass
90,BBB,2024J,F,North,Post Graduate Qualification,35-55,0,60,Withdrawn
91,DDD,2024B,M,West,HE Qualification,0-35,1,30,Fail
92,CCC,2024B,F,Central,Post Graduate Qualification,55<=,1,30,Distinction
93,CCC,2024B,M,Scotland,Lower Than A Level,55<=,1,30,Pass
94,AAA,2024J,F,Wales,A Level or Equivalent,35-55,0,90,Pass
95,DDD,2024B,F,North,Post Graduate Qualification,35-55,0,30,Distinction
96,CCC,2024B,M,Central,Lower Than A Level,0-35,0,120,Fail
97,DDD,2024B,F,East,HE Qualification,55<=,0,120,Withdrawn
98,BBB,2024J,M,Scotland,Post Graduate Qualification,35-55,0,60,Withdrawn
99,BBB,2024J,M,Central,A Level or Equivalent,55<=,1,120,Pass
100,BBB,2024J,F,West,HE Qualification,35-55,0,60,Distinction
101,CCC,2024B,F,North,HE Qualification,0-35,2,60,Pass
102,AAA,2024J,M,North,HE Qualification,35-55,1,120,Withdrawn
103,CCC,2024B,M,East,HE Qualification,55<=,0,90,Pass
104,DDD,2024B,M,Wales,Lower Than A Level,35-55,0,120,Pass
105,CCC,2024B,M,Scotland,A Level or Equivalent,35-55,0,30,Fail
106,CCC,2024B,F,East,Lower Than A Level,55<=,0,60,Fail
107,CCC,2024B,F,Wales,Post Graduate Qualification,0-35,0,30,Withdrawn
108,BBB,2024J,F,North,Lower Than A Level,0-35,1,60,Pass
109,CCC,2024B,M,East,Post Graduate Qualification,35-55,0,30,Withdrawn
110,AAA,2024J,F,Scotland,Post Graduate Qualification,55<=,0,90,Distinction
111,DDD,2024B,F,Wales,Post Graduate Qualification,55<=,0,60,Fail
112,BBB,2024J,M,North,HE Qualification,35-55,0,90,Pass
113,DDD,2024B,M,Scotland,HE Qualification,35-55,0,90,Pass
114,AAA,2024J,F,Scotland,Post Graduate Qualification,55<=,2,30,Pass
115,CCC,2024B,F,North,Lower Than A Level,55<=,0,30,Pass
116,AAA,2024J,M,Scotland,Post Graduate Qualification,0-35,0,120,Pass
117,AAA,2024J,F,West,A Level or Equivalent,0-35,0,90,Pass
118,AAA,2024J,F,Wales,A Level or Equivalent,55<=,0,90,Pass
119,AAA,2024J,M,South,A Level or Equivalent,0-35,2,90,Distinction
120,BBB,2024J,F,South,HE Qualification,55<=,0,30,Fail
121,AAA,2024J,M,Wales,A Level or Equivalent,55<=,0,90,Withdrawn
122,DDD,2024B,M,North,A Level or Equivalent,55<=,0,30,Withdrawn
123,BBB,2024J,M,East,A Level or Equivalent,0-35,0,30,Withdrawn
124,AAA,2024J,M,East,Lower Than A Level,35-55,2,90,Distinction
125,BBB,2024J,F,West,A Level or Equivalent,0-35,1,120,Fail
126,CCC,2024B,M,West,HE Qualification,55<=,1,120,Withdrawn
127,CCC,2024B,F,Wales,Lower Than A Level,0-35,0,30,Withdrawn
128,AAA,2024J,M,West,HE Qualification,35-55,0,60,Withdrawn
129,CCC,2024B,M,Scotland,Post Graduate Qualification,35-55,1,30,Withdrawn
130,DDD,2024B,M,South,Post Graduate Qualification,55<=,0,60,Fail
131,BBB,2024J,F,North,A Level or Equivalent,0-35,0,90,Pass
132,DDD,2024B,F,Wales,A Level or Equivalent,35-55,0,60,Fail
133,BBB,2024J,M,South,Post Graduate Qualification,0-35,3,60,Withdrawn
134,BBB,2024J,F,Central,A Level or Equivalent,0-35,0,90,Fail
135,AAA,2024J,M,South,Lower Than A Level,0-35,0,120,Withdrawn
136,AAA,2024J,M,East,Post Graduate Qualification,0-35,2,60,Fail
137,AAA,2024J,M,West,HE Qualification,35-55,0,120,Pass
138,AAA,2024J,F,Wales,HE Qualification,55<=,0,30,Distinction
139,BBB,2024J,M,North,Post Graduate Qualification,35-55,0,120,Withdrawn
140,AAA,2024J,M,North,Lower Than A Level,0-35,1,90,Pass
141,AAA,2024J,F,Central,Lower Than A Level,0-35,2,90,Withdrawn
142,DDD,2024B,F,North,Post Graduate Qualification,35-55,3,90,Withdrawn
143,BBB,2024J,F,West,HE Qualification,0-35,0,120,Pass
144,BBB,2024J,F,East,Post Graduate Qualification,0-35,0,30,Pass
145,BBB,2024J,F,Central,Lower Than A Level,55<=,0,30,Distinction
146,BBB,2024J,M,Wales,Lower Than A Level,0-35,1,120,Withdrawn
147,CCC,2024B,M,East,Lower Than A Level,0-35,0,90,Pass
148,DDD,2024B,F,West,A Level or Equivalent,55<=,0,60,Withdrawn
149,AAA,2024J,F,Central,HE Qualification,55<=,1,60,Pass
150,AAA,2024J,M,South,Post Graduate Qualification,0-35,0,90,Withdrawn
151,BBB,2024J,M,East,A Level or Equivalent,35-55,1,120,Withdrawn
152,CCC,2024B,F,Central,A Level or Equivalent,55<=,0,90,Fail
153,BBB,2024J,F,South,Post Graduate Qualification,35-55,1,120,Pass
154,BBB,2024J,M,Central,Post Graduate Qualification,35-55,0,30,Withdrawn
155,CCC,2024B,F,East,Post Graduate Qualification,0-35,0,30,Fail
156,BBB,2024J,M,East,Post Graduate Qualification,0-35,0,60,Distinction
157,DDD,2024B,M,South,A Level or Equivalent,35-55,1,90,Withdrawn
158,CCC,2024B,F,Wales,Post Graduate Qualification,55<=,1,120,Withdrawn
159,CCC,2024B,F,West,A Level or Equivalent,35-55,0,120,Pass
160,CCC,2024B,M,East,Lower Than A Level,55<=,3,60,Withdrawn
161,AAA,2024J,M,Scotland,Post Graduate Qualification,0-35,0,120,Withdrawn
162,CCC,2024B,F,Central,HE Qualification,55<=,0,60,Pass
163,DDD,2024B,M,West,Post Graduate Qualification,35-55,0,90,Fail
164,CCC,2024B,F,East,HE Qualification,35-55,2,60,Withdrawn
165,BBB,2024J,F,South,A Level or Equivalent,0-35,0,30,Pass
166,DDD,2024B,M,South,A Level or Equivalent,0-35,0,30,Pass
167,BBB,2024J,M,East,A Level or Equivalent,55<=,0,120,Distinction
168,BBB,2024J,F,North,HE Qualification,0-35,1,120,Withdrawn
169,BBB,2024J,M,Scotland,A Level or Equivalent,0-35,0,60,Pass
170,AAA,2024J,M,Scotland,A Level or Equivalent,55<=,0,90,Fail
171,AAA,2024J,F,Scotland,Lower Than A Level,55<=,0,30,Withdrawn
172,AAA,2024J,M,Wales,HE Qualification,35-55,1,30,Pass
173,AAA,2024J,F,North,A Level or Equivalent,55<=,0,60,Pass
174,BBB,2024J,M,Wales,A Level or Equivalent,0-35,0,60,Distinction
175,AAA,2024J,F,Wales,Post Graduate Qualification,35-55,0,90,Withdrawn
176,AAA,2024J,F,East,Post Graduate Qualification,0-35,2,30,Withdrawn
177,BBB,2024J,M,North,Lower Than A Level,35-55,0,120,Pass
178,AAA,2024J,F,West,HE Qualification,35-55,0,90,Withdrawn
179,BBB,2024J,M,South,HE Qualification,0-35,0,30,Fail
180,CCC,2024B,F,East,Lower Than A Level,0-35,0,120,Fail
181,AAA,2024J,F,Scotland,A Level or Equivalent,35-55,0,60,Withdrawn
182,BBB,2024J,M,East,Post Graduate Qualification,35-55,0,60,Fail
183,BBB,2024J,F,East,Lower Than A Level,35-55,2,90,Pass
184,CCC,2024B,F,South,Lower Than A Level,55<=,0,90,Withdrawn
185,BBB,2024J,M,West,Lower Than A Level,35-55,0,120,Withdrawn
186,AAA,2024J,M,North,Lower Than A Level,0-35,0,60,Pass
187,DDD,2024B,M,Wales,HE Qualification,35-55,0,60,Fail
188,BBB,2024J,M,Scotland,HE Qualification,0-35,3,120,Withdrawn
189,CCC,2024B,M,North,Post Graduate Qualification,0-35,0,90,Withdrawn
190,BBB,2024J,F,Central,Lower Than A Level,35-55,2,30,Withdrawn
191,DDD,2024B,F,Wales,A Level or Equivalent,35-55,0,30,Fail
192,BBB,2024J,F,South,HE Qualification,0-35,0,30,Withdrawn
193,CCC,2024B,F,East,Lower Than A Level,55<=,2,30,Fail
194,CCC,2024B,F,Central,HE Qualification,55<=,0,60,Fail
195,AAA,2024J,M,Scotland,Post Graduate Qualification,55<=,0,30,Pass
196,BBB,2024J,F,East,Lower Than A Level,0-35,1,120,Distinction
197,DDD,2024B,M,Scotland,Lower Than A Level,55<=,0,90,Pass
198,DDD,2024B,F,West,Lower Than A Level,35-55,0,30,Withdrawn
199,BBB,2024J,M,East,Lower Than A Level,55<=,1,120,Distinction
200,CCC,2024B,M,West,Post Graduate Qualification,0-35,1,120,Withdrawn
201,DDD,2024B,F,Wales,HE Qualification,35-55,2,60,Pass
202,BBB,2024J,M,Wales,Lower Than A Level,0-35,0,90,Fail
203,BBB,2024J,F,South,Lower Than A Level,35-55,0,120,Pass
204,DDD,2024B,M,North,Lower Than A Level,35-55,0,120,Fail
205,AAA,2024J,F,East,HE Qualification,55<=,0,60,Withdrawn
206,BBB,2024J,F,West,Post Graduate Qualification,55<=,1,60,Pass
207,AAA,2024J,F,East,HE Qualification,55<=,0,60,Pass
208,BBB,2024J,M,East,HE Qualification,35-55,1,30,Pass
209,AAA,2024J,M,Wales,HE Qualification,0-35,0,30,Withdrawn
210,CCC,2024B,M,Wales,Lower Than A Level,55<=,0,120,Fail
211,AAA,2024J,F,North,Lower Than A Level,0-35,1,30,Fail
212,BBB,2024J,F,South,Lower Than A Level,0-35,0,120,Withdrawn
213,CCC,2024B,F,Scotland,A Level or Equivalent,0-35,0,60,Fail
214,DDD,2024B,F,East,Lower Than A Level,55<=,1,30,Fail
215,BBB,2024J,F,South,Post Graduate Qualification,35-55,1,120,Withdrawn
216,BBB,2024J,F,Central,Post Graduate Qualification,0-35,0,90,Distinction
217,AAA,2024J,M,South,A Level or Equivalent,55<=,0,120,Distinction
218,BBB,2024J,F,Scotland,HE Qualification,35-55,1,90,Fail
219,BBB,2024J,M,Scotland,A Level or Equivalent,55<=,0,30,Pass
220,DDD,2024B,F,East,A Level or Equivalent,0-35,0,30,Fail
221,CCC,2024B,F,Scotland,HE Qualification,35-55,1,120,Pass
222,DDD,2024B,M,South,Post Graduate Qualification,0-35,1,120,Withdrawn
223,CCC,2024B,F,East,HE Qualification,35-55,0,90,Withdrawn
224,BBB,2024J,F,Wales,Lower Than A Level,35-55,0,120,Fail
225,BBB,2024J,F,South,A Level or Equivalent,35-55,3,30,Fail
226,BBB,2024J,M,Central,A Level or Equivalent,55<=,0,30,Pass
227,BBB,2024J,M,Scotland,Lower Than A Level,35-55,0,90,Withdrawn
228,BBB,2024J,M,West,Lower Than A Level,35-55,0,120,Fail
229,BBB,2024J,M,Scotland,Post Graduate Qualification,0-35,0,90,Withdrawn
230,BBB,2024J,M,Scotland,HE Qualification,35-55,3,30,Withdrawn
231,DDD,2024B,M,Central,A Level or Equivalent,55<=,0,90,Withdrawn
232,AAA,2024J,F,South,Lower Than A Level,55<=,0,30,Distinction
233,DDD,2024B,M,East,HE Qualification,0-35,0,60,Distinction
234,DDD,2024B,M,East,HE Qualification,0-35,0,30,Withdrawn
235,AAA,2024J,M,South,HE Qualification,35-55,0,60,Pass
236,CCC,2024B,M,South,Post Graduate Qualification,0-35,0,90,Pass
237,AAA,2024J,M,Central,Post Graduate Qualification,35-55,0,30,Fail
238,DDD,2024B,F,South,Post Graduate Qualification,55<=,3,60,Distinction
239,AAA,2024J,M,Scotland,Post Graduate Qualification,35-55,1,120,Pass
240,DDD,2024B,M,North,A Level or Equivalent,0-35,2,120,Withdrawn
241,CCC,2024B,M,Central,HE Qualification,55<=,1,90,Withdrawn
242,BBB,2024J,M,Central,Post Graduate Qualification,0-35,0,90,Pass
243,BBB,2024J,F,East,Lower Than A Level,0-35,3,60,Pass
244,BBB,2024J,F,Scotland,A Level or Equivalent,35-55,0,30,Withdrawn
245,DDD,2024B,M,Wales,Post Graduate Qualification,55<=,3,90,Pass
246,AAA,2024J,M,East,HE Qualification,55<=,1,90,Withdrawn
247,BBB,2024J,M,Scotland,A Level or Equivalent,0-35,1,90,Fail
248,DDD,2024B,F,Scotland,A Level or Equivalent,35-55,1,90,Withdrawn
249,AAA,2024J,M,East,Lower Than A Level,35-55,0,120,Pass
250,BBB,2024J,M,West,A Level or Equivalent,35-55,0,90,Withdrawn
251,AAA,2024J,M,North,Post Graduate Qualification,35-55,0,90,Pass
252,CCC,2024B,F,South,HE Qualification,55<=,0,30,Pass
253,BBB,2024J,M,South,HE Qualification,0-35,3,90,Withdrawn
254,DDD,2024B,F,West,HE Qualification,0-35,0,30,Pass
255,CCC,2024B,M,West,Post Graduate Qualification,55<=,0,90,Fail
256,DDD,2024B,M,North,Lower Than A Level,0-35,1,60,Withdrawn
257,CCC,2024B,M,East,A Level or Equivalent,0-35,0,60,Withdrawn
258,AAA,2024J,M,Scotland,A Level or Equivalent,35-55,0,60,Fail
259,DDD,2024B,F,West,HE Qualification,0-35,1,30,Fail
260,CCC,2024B,F,East,Post Graduate Qualification,55<=,0,60,Pass
261,AAA,2024J,M,Central,A Level or Equivalent,35-55,2,120,Pass
262,DDD,2024B,F,South,HE Qualification,55<=,0,60,Distinction
263,AAA,2024J,F,North,HE Qualification,0-35,0,30,Distinction
264,DDD,2024B,M,North,Lower Than A Level,0-35,0,120,Fail
265,BBB,2024J,F,West,Lower Than A Level,55<=,0,120,Distinction
266,CCC,2024B,F,Central,A Level or Equivalent,55<=,2,60,Fail
267,CCC,2024B,F,Central,HE Qualification,55<=,1,60,Pass
268,CCC,2024B,F,West,HE Qualification,35-55,0,30,Distinction
269,CCC,2024B,F,Wales,HE Qualification,0-35,0,90,Pass
270,AAA,2024J,M,Central,A Level or Equivalent,55<=,3,30,Fail
271,BBB,2024J,M,East,A Level or Equivalent,55<=,1,120,Fail
272,CCC,2024B,F,South,HE Qualification,35-55,2,30,Withdrawn
273,CCC,2024B,F,Central,A Level or Equivalent,35-55,0,60,Pass
274,BBB,2024J,F,North,HE Qualification,35-55,0,60,Pass
275,DDD,2024B,M,Scotland,HE Qualification,0-35,0,60,Fail
276,DDD,2024B,F,Central,HE Qualification,0-35,1,60,Pass
277,DDD,2024B,M,Scotland,Post Graduate Qualification,55<=,3,30,Fail
278,BBB,2024J,M,Scotland,HE Qualification,55<=,0,90,Pass
279,DDD,2024B,M,Scotland,Post Graduate Qualification,0-35,0,30,Distinction
280,AAA,2024J,F,North,Lower Than A Level,35-55,0,60,Withdrawn
281,BBB,2024J,F,Scotland,A Level or Equivalent,55<=,0,90,Fail
282,AAA,2024J,M,Scotland,Lower Than A Level,0-35,0,30,Withdrawn
283,AAA,2024J,M,Scotland,Post Graduate Qualification,0-35,0,60,Withdrawn
284,CCC,2024B,F,East,A Level or Equivalent,35-55,0,30,Fail
285,AAA,2024J,F,Scotland,A Level or Equivalent,0-35,2,60,Distinction
286,AAA,2024J,M,Wales,Lower Than A Level,55<=,0,30,Pass
287,DDD,2024B,M,South,A Level or Equivalent,0-35,0,30,Withdrawn
288,CCC,2024B,F,West,HE Qualification,55<=,0,90,Fail
289,AAA,2024J,M,Wales,A Level or Equivalent,0-35,0,120,Fail
290,AAA,2024J,M,North,Post Graduate Qualification,35-55,2,30,Distinction
291,DDD,2024B,F,North,A Level or Equivalent,55<=,1,120,Withdrawn
292,CCC,2024B,M,Scotland,HE Qualification,0-35,2,90,Fail
293,DDD,2024B,F,Central,Post Graduate Qualification,0-35,0,120,Fail
294,DDD,2024B,F,South,A Level or Equivalent,35-55,1,60,Fail
295,BBB,2024J,M,Scotland,Post Graduate Qualification,35-55,0,120,Fail
296,AAA,2024J,F,Central,HE Qualification,35-55,0,30,Pass
297,BBB,2024J,M,Scotland,Post Graduate Qualification,0-35,1,120,Pass
298,AAA,2024J,M,West,Post Graduate Qualification,35-55,0,30,Withdrawn
299,BBB,2024J,M,East,HE Qualification,35-55,0,30,Pass
300,DDD,2024B,F,South,Post Graduate Qualification,55<=,0,90,Fail
301,AAA,2024J,M,Central,Lower Than A Level,0-35,0,30,Withdrawn
302,AAA,2024J,F,North,A Level or Equivalent,55<=,0,60,Withdrawn
303,DDD,2024B,M,West,Post Graduate Qualification,0-35,1,120,Withdrawn
304,BBB,2024J,M,North,HE Qualification,55<=,0,90,Withdrawn
305,CCC,2024B,M,Scotland,Lower Than A Level,0-35,0,120,Withdrawn
306,BBB,2024J,F,East,HE Qualification,35-55,0,90,Withdrawn
307,BBB,2024J,M,North,Post Graduate Qualification,55<=,0,60,Fail
308,BBB,2024J,M,East,Lower Than A Level,0-35,0,120,Withdrawn
309,AAA,2024J,F,Central,Post Graduate Qualification,0-35,3,120,Fail
310,DDD,2024B,M,Wales,Lower Than A Level,55<=,0,30,Fail
311,AAA,2024J,M,Scotland,Post Graduate Qualification,0-35,0,120,Withdrawn
312,DDD,2024B,F,Scotland,Post Graduate Qualification,0-35,2,90,Fail
313,DDD,2024B,M,Central,A Level or Equivalent,0-35,1,90,Pass
314,BBB,2024J,M,North,Post Graduate Qualification,0-35,3,30,Fail
315,BBB,2024J,F,Central,Post Graduate Qualification,0-35,1,60,Distinction
316,DDD,2024B,F,East,Post Graduate Qualification,35-55,1,30,Withdrawn
317,AAA,2024J,M,Scotland,HE Qualification,0-35,1,60,Withdrawn
318,AAA,2024J,M,Wales,Post Graduate Qualification,55<=,2,120,Pass
319,BBB,2024J,M,Wales,Post Graduate Qualification,0-35,0,60,Pass
320,AAA,2024J,F,Wales,Lower Than A Level,35-55,3,30,Distinction
321,AAA,2024J,M,Wales,A Level or Equivalent,35-55,0,30,Withdrawn
322,BBB,2024J,M,East,Post Graduate Qualification,35-55,0,120,Withdrawn
323,CCC,2024B,F,North,Post Graduate Qualification,0-35,1,120,Pass
324,CCC,2024B,M,Wales,A Level or Equivalent,0-35,1,90,Withdrawn
325,DDD,2024B,M,Central,Lower Than A Level,35-55,1,90,Fail
326,BBB,2024J,M,Central,HE Qualification,55<=,2,30,Fail
327,BBB,2024J,F,North,Post Graduate Qualification,55<=,0,90,Pass
328,DDD,2024B,F,North,Lower Than A Level,35-55,0,60,Withdrawn
329,DDD,2024B,M,Wales,A Level or Equivalent,55<=,0,120,Withdrawn
330,AAA,2024J,F,South,A Level or Equivalent,55<=,0,30,Pass
331,DDD,2024B,F,Scotland,HE Qualification,35-55,0,30,Withdrawn
332,AAA,2024J,M,East,Post Graduate Qualification,55<=,0,60,Pass
333,CCC,2024B,M,Central,Post Graduate Qualification,0-35,0,120,Distinction
334,AAA,2024J,F,West,A Level or Equivalent,0-35,1,60,Withdrawn
335,CCC,2024B,M,East,Lower Than A Level,35-55,0,30,Pass
336,BBB,2024J,F,Central,HE Qualification,0-35,0,30,Pass
337,AAA,2024J,F,Wales,HE Qualification,55<=,2,90,Withdrawn
338,CCC,2024B,M,Wales,Lower Than A Level,55<=,0,120,Fail
339,BBB,2024J,M,Central,HE Qualification,0-35,3,90,Pass
340,BBB,2024J,M,Wales,Lower Than A Level,0-35,1,60,Distinction
341,DDD,2024B,F,East,HE Qualification,0-35,0,60,Withdrawn
342,BBB,2024J,M,East,Post Graduate Qualification,0-35,0,120,Fail
343,CCC,2024B,F,North,HE Qualification,35-55,2,120,Withdrawn
344,AAA,2024J,F,Central,Lower Than A Level,0-35,0,120,Fail
345,CCC,2024B,F,North,HE Qualification,0-35,2,60,Pass
346,BBB,2024J,F,Wales,A Level or Equivalent,35-55,0,120,Pass
347,DDD,2024B,M,South,Lower Than A Level,55<=,0,30,Withdrawn
348,AAA,2024J,M,Scotland,Lower Than A Level,0-35,1,60,Withdrawn
349,BBB,2024J,M,West,HE Qualification,55<=,1,120,Pass
350,BBB,2024J,F,South,Lower Than A Level,35-55,0,60,Pass
351,CCC,2024B,M,South,HE Qualification,35-55,0,120,Fail
352,CCC,2024B,F,Scotland,Lower Than A Level,35-55,0,120,Withdrawn
353,CCC,2024B,F,North,A Level or Equivalent,55<=,0,90,Pass
354,DDD,2024B,F,West,Lower Than A Level,35-55,0,120,Pass
355,BBB,2024J,F,West,Lower Than A Level,55<=,0,120,Withdrawn
356,AAA,2024J,M,South,HE Qualification,0-35,1,90,Pass
357,AAA,2024J,M,Wales,Post Graduate Qualification,35-55,3,30,Withdrawn
358,DDD,2024B,M,Wales,Lower Than A Level,55<=,0,90,Withdrawn
359,DDD,2024B,F,Central,Post Graduate Qualification,0-35,2,60,Pass
360,BBB,2024J,M,Wales,Post Graduate Qualification,0-35,0,90,Fail
361,BBB,2024J,M,North,Lower Than A Level,0-35,0,30,Withdrawn
362,DDD,2024B,F,West,Lower Than A Level,55<=,1,30,Fail
363,BBB,2024J,F,North,A Level or Equivalent,55<=,2,120,Fail
364,BBB,2024J,M,East,A Level or Equivalent,0-35,0,90,Distinction
365,BBB,2024J,F,Central,Lower Than A Level,35-55,1,90,Pass
366,AAA,2024J,M,North,Lower Than A Level,0-35,0,90,Withdrawn
367,CCC,2024B,F,Scotland,HE Qualification,55<=,0,120,Fail
368,BBB,2024J,F,Wales,Lower Than A Level,0-35,1,60,Fail
369,BBB,2024J,M,West,A Level or Equivalent,35-55,1,90,Distinction
370,CCC,2024B,M,West,HE Qualification,55<=,2,30,Withdrawn
371,BBB,2024J,M,West,Post Graduate Qualification,35-55,0,60,Fail
372,CCC,2024B,F,North,A Level or Equivalent,0-35,2,90,Distinction
373,BBB,2024J,F,South,Lower Than A Level,55<=,0,90,Fail
