student_id,gender,nationality,grade_level,topic,raised_hand,visited_resources,announcements_view,discussion,parent_answering_survey,parent_school_satisfaction,student_absence_days,class_level
STU0076,M,Nigeria,G-07,English,87,116,18,76,No,N/A,Under-7,H
STU0077,M,Brazil,G-08,History,88,31,35,73,No,N/A,Under-7,H
STU0078,F,Nigeria,G-10,IT,42,39,91,26,Yes,Good,Under-7,M
STU0079,F,Germany,G-08,Chemistry,84,40,2,70,No,N/A,Above-7,M
STU0080,F,Japan,G-09,Chemistry,50,100,9,67,No,N/A,Above-7,H
STU0081,M,Germany,G-05,Math,41,148,6,38,No,N/A,Under-7,H
STU0082,M,Japan,G-11,Science,18,53,27,25,Yes,Bad,Under-7,M
STU0083,M,Germany,G-10,Biology,21,14,12,45,No,N/A,Under-7,L
STU0084,M,UK,G-12,Biology,43,111,19,80,No,N/A,Under-7,H
STU0085,M,UK,G-07,English,62,77,88,76,Yes,Bad,Under-7,H
STU0086,F,Germany,G-08,Biology,83,113,47,1,Yes,Good,Under-7,H
STU0087,M,Japan,G-12,Math,2,150,73,73,No,N/A,Above-7,H
STU0088,M,India,G-10,English,82,111,38,73,Yes,Good,Above-7,H
STU0089,M,India,G-10,Chemistry,89,5,50,71,No,N/A,Under-7,H
STU0090,M,China,G-05,Math,76,46,0,71,No,N/A,Above-7,M
STU0091,M,US,G-06,History,26,41,11,71,No,N/A,Under-7,M
STU0092,M,UK,G-12,Science,46,139,21,54,Yes,Good,Above-7,H
STU0093,M,Nigeria,G-12,English,17,147,62,40,No,N/A,Under-7,H
STU0094,M,US,G-07,IT,24,36,38,27,Yes,Good,Above-7,M
STU0095,F,India,G-10,IT,70,65,33,48,Yes,Bad,Above-7,H
STU0096,M,Nigeria,G-10,Biology,18,137,26,9,No,N/A,Under-7,M
STU0097,F,India,G-10,Chemistry,19,80,100,55,No,N/A,Under-7,H
STU0098,M,UK,G-08,IT,68,28,87,70,No,N/A,Under-7,H
STU0099,F,UK,G-09,Science,99,69,18,28,No,N/A,Under-7,H
STU0100,M,Germany,G-07,English,13,31,22,67,No,N/A,Above-7,M
STU0101,M,Brazil,G-08,History,34,25,6,21,No,N/A,Above-7,L
STU0102,M,Brazil,G-12,History,76,103,61,75,Yes,Bad,Under-7,H
STU0103,M,India,G-06,English,72,68,6,47,Yes,Bad,Above-7,M
STU0104,M,Japan,G-09,Chemistry,59,128,36,35,No,N/A,Under-7,H
STU0105,F,UK,G-08,English,98,80,11,10,Yes,Good,Under-7,M
STU0106,M,US,G-05,Biology,36,141,63,1,No,N/A,Under-7,H
STU0107,F,Japan,G-12,Biology,86,136,89,15,No,N/A,Under-7,H
STU0108,M,US,G-10,Biology,68,88,31,67,Yes,Bad,Under-7,H
STU0109,M,India,G-05,Science,17,131,45,6,No,N/A,Above-7,M
STU0110,F,India,G-09,IT,43,63,69,15,No,N/A,Above-7,M
STU0111,F,Nigeria,G-08,Math,0,145,50,27,No,N/A,Under-7,H
STU0112,F,Japan,G-04,Science,0,117,42,38,No,N/A,Under-7,M
STU0113,M,Brazil,G-06,English,45,2,12,55,No,N/A,Under-7,M
STU0114,M,India,G-10,IT,62,1,19,32,Yes,Bad,Above-7,M
STU0115,F,Nigeria,G-09,English,23,137,34,13,No,N/A,Above-7,H
STU0116,M,India,G-09,Biology,55,1,45,25,Yes,Good,Above-7,M
STU0117,M,India,G-10,English,95,84,4,20,Yes,Bad,Above-7,H
STU0118,M,Germany,G-11,History,63,32,41,51,No,N/A,Under-7,M
STU0119,M,UK,G-04,Math,19,88,64,1,Yes,Good,Above-7,M
STU0120,F,US,G-10,English,37,72,62,10,No,N/A,Under-7,M
STU0121,M,India,G-07,Science,98,29,33,31,No,N/A,Under-7,M
STU0122,F,UK,G-12,History,23,48,75,80,Yes,Good,Under-7,H
STU0123,M,Germany,G-04,Science,24,37,54,2,Yes,Good,Under-7,M
STU0124,F,Germany,G-12,Science,89,59,28,43,No,N/A,Above-7,H
STU0125,M,Germany,G-04,Science,14,68,46,35,No,N/A,Above-7,M
STU0126,M,Brazil,G-04,Math,5,0,6,41,Yes,Bad,Above-7,L
STU0127,F,UK,G-10,Math,32,125,46,42,No,N/A,Under-7,H
STU0128,M,US,G-12,Chemistry,16,84,46,46,No,N/A,Under-7,M
STU0129,F,China,G-10,IT,13,33,80,77,Yes,Good,Under-7,H
STU0130,M,Japan,G-05,IT,69,87,38,60,Yes,Good,Under-7,H
STU0131,M,China,G-10,History,91,64,97,71,No,N/A,Above-7,H
STU0132,F,UK,G-10,IT,61,107,67,64,Yes,Good,Above-7,H
STU0133,M,Nigeria,G-04,History,7,48,94,50,No,N/A,Under-7,M
STU0134,M,Japan,G-12,English,71,99,51,77,No,N/A,Under-7,H
STU0135,M,US,G-06,History,27,2,65,58,No,N/A,Above-7,M
STU0136,M,Nigeria,G-08,History,15,43,28,5,Yes,Bad,Under-7,L
STU0137,M,Nigeria,G-06,Science,6,63,26,68,Yes,Good,Above-7,M
STU0138,F,Brazil,G-05,Biology,70,67,92,17,No,N/A,Above-7,H
STU0139,F,US,G-04,Chemistry,45,56,93,35,Yes,Bad,Under-7,H
STU0140,M,Germany,G-08,Chemistry,80,141,26,56,Yes,Bad,Above-7,H
STU0141,M,Germany,G-06,English,29,111,47,18,No,N/A,Under-7,H
STU0142,F,India,G-11,Math,22,48,72,62,Yes,Bad,Under-7,H
STU0143,F,India,G-06,Chemistry,50,48,8,18,Yes,Bad,Under-7,M
STU0144,F,Germany,G-05,Biology,67,35,93,1,Yes,Bad,Above-7,M
STU0145,M,UK,G-04,Chemistry,82,11,16,31,Yes,Bad,Under-7,M
STU0146,M,US,G-05,History,94,86,90,10,Yes,Good,Above-7,H
STU0147,F,India,G-08,Science,61,39,31,7,No,N/A,Under-7,M
STU0148,M,US,G-05,History,37,26,65,53,Yes,Good,Under-7,M
STU0149,M,China,G-10,English,18,90,83,36,Yes,Bad,Under-7,H
STU0150,F,India,G-05,Math,13,72,45,9,No,N/A,Under-7,M
STU0151,F,UK,G-04,History,19,45,54,67,No,N/A,Under-7,M
STU0152,F,India,G-08,History,36,89,13,34,No,N/A,Above-7,M
STU0153,F,UK,G-04,Chemistry,19,37,40,18,No,N/A,Above-7,M
STU0154,F,UK,G-05,History,54,71,18,11,No,N/A,Under-7,M
STU0155,M,Germany,G-09,Science,63,108,61,52,No,N/A,Under-7,H
STU0156,M,Germany,G-10,History,63,137,68,63,Yes,Bad,Under-7,H
STU0157,F,China,G-05,Math,46,0,26,2,No,N/A,Above-7,L
STU0158,M,UK,G-04,Science,46,35,37,58,Yes,Bad,Under-7,M
STU0159,M,China,G-04,Biology,17,30,89,18,No,N/A,Under-7,M
STU0160,F,Brazil,G-04,Biology,13,148,9,61,Yes,Good,Under-7,H
STU0161,F,India,G-05,Math,9,3,72,53,Yes,Good,Above-7,M
STU0162,M,Nigeria,G-11,English,92,86,56,1,No,N/A,Under-7,H
STU0163,M,US,G-04,History,96,44,64,20,Yes,Bad,Above-7,H
STU0164,F,Nigeria,G-12,Science,90,58,54,20,No,N/A,Under-7,H
STU0165,F,India,G-07,English,79,14,28,50,Yes,Good,Above-7,M
STU0166,F,Brazil,G-10,Chemistry,48,42,6,47,No,N/A,Under-7,M
STU0167,F,UK,G-05,IT,46,85,3,30,No,N/A,Under-7,M
STU0168,M,UK,G-07,History,1,79,24,70,Yes,Good,Under-7,M
STU0169,F,UK,G-04,History,61,11,6,40,Yes,Bad,Under-7,M
STU0170,F,Nigeria,G-10,History,24,80,96,50,No,N/A,Under-7,H
STU0171,M,Brazil,G-10,Biology,64,25,64,19,Yes,Bad,Above-7,M
STU0172,M,Nigeria,G-06,Math,87,118,10,80,Yes,Good,Under-7,H
STU0173,M,India,G-12,History,93,133,98,43,No,N/A,Under-7,H
STU0174,F,Nigeria,G-09,History,55,10,91,49,Yes,Good,Under-7,H
STU0175,M,Japan,G-05,Chemistry,1,36,98,39,Yes,Bad,Under-7,M
STU0176,F,Brazil,G-06,Science,20,17,35,73,No,N/A,Above-7,M
STU0177,M,UK,G-06,Biology,98,117,33,60,No,N/A,Above-7,H
STU0178,M,UK,G-11,IT,46,73,51,52,Yes,Bad,Above-7,H
STU0179,F,Brazil,G-05,Biology,52,129,57,33,Yes,Good,Under-7,H
STU0180,M,India,G-05,Science,48,40,72,51,Yes,Good,Above-7,H
STU0181,F,UK,G-09,English,59,136,59,13,Yes,Good,Under-7,H
STU0182,F,Germany,G-07,English,42,16,40,43,No,N/A,Under-7,M
STU0183,F,UK,G-08,English,4,139,19,60,Yes,Good,Above-7,H
STU0184,M,Germany,G-04,Chemistry,46,110,60,27,Yes,Good,Under-7,H
STU0185,F,Nigeria,G-08,Biology,22,21,18,8,No,N/A,Above-7,L
STU0186,M,Nigeria,G-11,Chemistry,53,134,27,33,Yes,Good,Under-7,H
STU0187,F,Brazil,G-08,Math,25,89,53,61,No,N/A,Under-7,H
STU0188,F,Brazil,G-10,Chemistry,1,143,100,76,Yes,Good,Under-7,H
STU0189,F,Brazil,G-04,Math,58,37,63,40,Yes,Bad,Above-7,M
STU0190,M,Japan,G-06,Biology,57,148,12,4,Yes,Good,Above-7,H
STU0191,M,Germany,G-07,Science,26,48,86,73,Yes,Bad,Above-7,H
STU0192,M,Nigeria,G-08,History,15,127,83,58,No,N/A,Above-7,H
STU0193,F,Brazil,G-12,English,66,85,14,22,No,N/A,Above-7,M
STU0194,F,India,G-12,History,20,138,55,48,No,N/A,Above-7,H
STU0195,F,UK,G-05,Chemistry,13,22,83,2,No,N/A,Under-7,M
STU0196,F,UK,G-11,History,74,8,85,37,No,N/A,Under-7,H
STU0197,M,Japan,G-12,English,14,50,60,15,No,N/A,Above-7,M
STU0198,F,Germany,G-04,Science,100,57,64,36,No,N/A,Above-7,H
STU0199,F,Germany,G-07,IT,53,8,1,3,Yes,Bad,Above-7,L
STU0200,F,India,G-10,Math,71,100,24,78,No,N/A,Under-7,H
STU0201,F,India,G-10,Biology,22,103,40,66,Yes,Bad,Under-7,H
STU0202,M,India,G-12,IT,80,147,100,50,No,N/A,Under-7,H
STU0203,F,China,G-05,IT,3,111,1,80,Yes,Good,Under-7,M
STU0204,F,US,G-06,English,81,91,23,30,Yes,Bad,Under-7,H
STU0205,M,Germany,G-08,Biology,6,70,10,18,Yes,Good,Under-7,M
STU0206,F,UK,G-05,Math,36,67,23,11,Yes,Bad,Above-7,M
STU0207,M,Germany,G-05,English,2,105,9,62,Yes,Good,Above-7,M
STU0208,F,Brazil,G-11,Chemistry,20,46,38,1,Yes,Good,Under-7,M
STU0209,F,Brazil,G-11,History,76,139,0,20,No,N/A,Under-7,H
STU0210,M,US,G-12,IT,66,131,97,19,Yes,Bad,Under-7,H
STU0211,M,US,G-09,Math,28,21,93,16,No,N/A,Above-7,M
STU0212,F,China,G-05,Science,90,141,83,37,No,N/A,Above-7,H
STU0213,F,Germany,G-07,Science,22,50,87,35,No,N/A,Under-7,M
STU0214,F,India,G-07,Biology,62,110,57,54,No,N/A,Above-7,H
STU0215,M,Germany,G-10,Math,72,90,47,80,Yes,Bad,Under-7,H
STU0216,M,Nigeria,G-10,Science,77,135,45,50,Yes,Good,Under-7,H
STU0217,F,Germany,G-06,Science,31,18,27,47,No,N/A,Under-7,M
STU0218,F,UK,G-04,Science,88,2,91,42,Yes,Bad,Above-7,H
STU0219,M,UK,G-10,Science,77,54,67,27,Yes,Bad,Under-7,H
STU0220,F,Germany,G-09,Chemistry,40,50,25,6,No,N/A,Above-7,M
STU0221,M,Nigeria,G-10,IT,15,115,21,76,No,N/A,Above-7,H
STU0222,M,US,G-08,IT,82,147,0,59,No,N/A,Under-7,H
STU0223,F,US,G-12,History,5,86,82,2,Yes,Bad,Under-7,M
STU0224,F,Nigeria,G-08,Science,96,88,51,10,No,N/A,Above-7,H
STU0225,M,Germany,G-08,Biology,58,126,82,15,No,N/A,Under-7,H
STU0226,M,China,G-04,Chemistry,1,35,13,41,No,N/A,Under-7,L
STU0227,M,UK,G-07,Biology,47,137,0,6,No,N/A,Under-7,M
STU0228,M,US,G-08,IT,33,84,88,78,No,N/A,Above-7,H
STU0229,M,India,G-11,IT,16,81,18,74,No,N/A,Above-7,M
STU0230,M,China,G-11,Biology,62,71,41,61,Yes,Good,Above-7,H
STU0231,F,UK,G-09,History,31,52,88,9,Yes,Bad,Under-7,M
STU0232,M,US,G-07,English,49,48,62,13,No,N/A,Under-7,M
STU0233,F,Nigeria,G-11,Biology,19,129,13,16,Yes,Bad,Above-7,M
STU0234,F,China,G-10,Math,8,71,54,21,No,N/A,Under-7,M
STU0235,M,Japan,G-05,Biology,14,61,2,58,Yes,Bad,Under-7,M
STU0236,F,Japan,G-09,Science,15,140,10,45,No,N/A,Under-7,H
STU0237,M,Germany,G-12,English,65,85,6,56,No,N/A,Above-7,H
STU0238,M,US,G-10,Biology,54,49,37,24,No,N/A,Under-7,M
STU0239,F,Japan,G-12,English,13,12,82,31,Yes,Good,Under-7,M
STU0240,M,US,G-08,Math,8,136,12,35,Yes,Bad,Above-7,M
STU0241,F,UK,G-07,Biology,88,68,63,26,Yes,Good,Above-7,H
STU0242,F,Nigeria,G-04,IT,23,128,89,79,No,N/A,Above-7,H
STU0243,M,India,G-09,Biology,8,42,23,42,No,N/A,Under-7,M
STU0244,M,Japan,G-10,Science,2,45,33,9,Yes,Good,Above-7,L
STU0245,F,US,G-11,Chemistry,31,120,14,5,Yes,Bad,Under-7,M
STU0246,M,India,G-05,IT,38,85,57,62,No,N/A,Above-7,H
STU0247,F,Nigeria,G-09,English,1,90,38,42,No,N/A,Under-7,M
STU0248,F,US,G-06,English,28,36,45,63,Yes,Good,Above-7,M
STU0249,F,China,G-05,Math,48,27,35,80,No,N/A,Under-7,M
STU0250,F,Brazil,G-09,English,75,106,35,39,Yes,Good,Above-7,H
STU0251,M,Germany,G-11,History,44,73,14,1,No,N/A,Under-7,M
STU0252,F,India,G-12,Science,79,142,85,20,No,N/A,Above-7,H
STU0253,F,UK,G-08,IT,58,10,27,36,Yes,Good,Above-7,M
STU0254,F,US,G-10,Science,84,0,6,32,Yes,Bad,Above-7,M
STU0255,M,UK,G-08,Math,93,50,55,74,Yes,Bad,Under-7,H
STU0256,M,Japan,G-09,Math,86,98,54,51,Yes,Bad,Above-7,H
STU0257,F,India,G-10,Biology,41,148,17,25,No,N/A,Under-7,H
STU0258,F,China,G-08,Science,10,76,72,80,No,N/A,Under-7,H
STU0259,F,Germany,G-05,Math,67,113,88,40,No,N/A,Above-7,H
STU0260,F,Germany,G-11,English,52,118,3,71,Yes,Bad,Under-7,H
STU0261,M,Nigeria,G-07,History,65,95,16,79,No,N/A,Under-7,H
STU0262,F,India,G-10,Biology,0,118,97,66,No,N/A,Under-7,H
STU0263,M,US,G-08,Chemistry,83,27,42,76,Yes,Bad,Above-7,H
STU0264,F,US,G-05,Biology,74,130,94,6,Yes,Good,Above-7,H
STU0265,M,China,G-06,Science,80,79,92,0,No,N/A,Under-7,H
STU0266,M,UK,G-04,Math,77,30,66,12,Yes,Good,Under-7,M
STU0267,F,US,G-12,English,50,14,15,38,No,N/A,Above-7,M
STU0268,M,China,G-12,Science,78,112,84,78,Yes,Bad,Under-7,H
STU0269,M,India,G-06,Chemistry,95,61,21,65,Yes,Bad,Above-7,H
STU0270,F,Nigeria,G-05,History,63,94,85,35,No,N/A,Above-7,H
STU0271,M,Japan,G-10,Chemistry,54,37,3,36,No,N/A,Under-7,M
STU0272,F,US,G-08,IT,82,113,5,45,Yes,Bad,Above-7,H
STU0273,F,US,G-06,Science,64,128,26,44,No,N/A,Under-7,H
STU0274,M,India,G-09,Biology,92,144,43,58,Yes,Bad,Above-7,H
STU0275,F,UK,G-11,English,60,46,73,64,No,N/A,Under-7,H
STU0276,F,Brazil,G-10,IT,5,7,93,20,Yes,Good,Under-7,M
STU0277,F,Japan,G-09,Chemistry,29,60,13,22,No,N/A,Above-7,M
STU0278,M,US,G-08,IT,4,18,56,47,Yes,Good,Above-7,M
STU0279,M,Japan,G-10,Math,81,146,71,25,Yes,Bad,Above-7,H
STU0280,F,Nigeria,G-07,Math,94,41,55,67,Yes,Good,Under-7,H
STU0281,M,China,G-04,Chemistry,17,1,46,52,Yes,Bad,Under-7,M
STU0282,F,China,G-07,History,60,128,45,45,Yes,Good,Above-7,H
STU0283,F,Germany,G-05,History,10,32,100,66,No,N/A,Under-7,H
STU0284,M,Japan,G-07,IT,76,138,42,2,Yes,Bad,Above-7,H
STU0285,F,Brazil,G-05,Chemistry,20,73,9,68,Yes,Bad,Above-7,M
STU0286,M,UK,G-11,Science,83,7,4,43,No,N/A,Above-7,M
STU0287,M,Brazil,G-04,Math,26,140,93,42,Yes,Good,Above-7,H
STU0288,M,US,G-09,IT,53,20,70,61,Yes,Bad,Under-7,H
STU0289,M,US,G-11,History,28,89,55,61,No,N/A,Under-7,H
STU0290,M,US,G-04,Chemistry,100,50,68,77,No,N/A,Under-7,H
STU0291,F,US,G-10,Chemistry,48,32,55,54,Yes,Good,Above-7,M
STU0292,M,Brazil,G-09,Math,43,111,7,30,Yes,Good,Under-7,M
STU0293,M,Germany,G-12,History,5,3,92,31,Yes,Good,Under-7,M
STU0294,M,Japan,G-06,Science,5,80,44,77,Yes,Bad,Under-7,H
STU0295,F,Japan,G-05,Biology,9,19,32,69,Yes,Bad,Above-7,M
STU0296,M,Japan,G-08,Science,99,141,37,31,No,N/A,Above-7,H
STU0297,M,US,G-09,English,90,124,35,10,Yes,Good,Under-7,H
STU0298,F,China,G-05,Science,92,36,4,30,No,N/A,Above-7,M
STU0299,M,US,G-11,Chemistry,4,69,35,75,No,N/A,Above-7,M
STU0300,M,US,G-08,Chemistry,78,98,63,2,No,N/A,Above-7,H
STU0301,F,US,G-07,Math,48,47,84,55,Yes,Bad,Under-7,H
STU0302,F,US,G-09,Chemistry,33,55,96,3,No,N/A,Above-7,M
STU0303,F,US,G-05,History,49,73,68,59,No,N/A,Above-7,H
STU0304,M,Germany,G-11,Biology,30,33,1,35,No,N/A,Under-7,L
STU0305,M,Nigeria,G-09,History,50,9,78,35,No,N/A,Above-7,M
STU0306,F,US,G-05,Science,72,82,33,22,No,N/A,Above-7,H
STU0307,M,Japan,G-04,English,4,91,61,71,Yes,Bad,Under-7,H
STU0308,M,Nigeria,G-12,Science,8,112,23,33,No,N/A,Above-7,M
STU0309,F,India,G-07,Biology,22,37,79,6,Yes,Good,Under-7,M
STU0310,M,Japan,G-09,IT,70,58,7,33,No,N/A,Under-7,M
STU0311,F,US,G-07,Science,13,19,64,56,Yes,Good,Under-7,M
STU0312,M,Brazil,G-09,Chemistry,87,106,9,54,No,N/A,Under-7,H
STU0313,M,Brazil,G-09,Science,52,95,60,37,Yes,Good,Above-7,H
STU0314,M,Nigeria,G-06,History,3,27,77,27,No,N/A,Above-7,M
STU0315,M,Germany,G-04,Biology,92,38,48,10,Yes,Good,Above-7,M
STU0316,M,US,G-11,Biology,67,133,56,40,No,N/A,Under-7,H
STU0317,F,China,G-09,Math,98,92,29,58,No,N/A,Under-7,H
STU0318,M,Japan,G-10,Science,10,90,71,64,Yes,Bad,Above-7,H
STU0319,M,Japan,G-10,Math,72,32,68,31,No,N/A,Under-7,H
STU0320,F,Nigeria,G-09,Science,15,20,52,53,Yes,Bad,Under-7,M
STU0321,M,Japan,G-04,Math,15,107,33,70,No,N/A,Under-7,H
STU0322,M,US,G-10,IT,88,42,9,16,No,N/A,Above-7,M
STU0323,F,India,G-10,Biology,71,61,91,37,Yes,Bad,Above-7,H
STU0324,M,US,G-05,Biology,45,114,52,80,No,N/A,Above-7,H
STU0325,F,Japan,G-06,Biology,23,150,65,10,Yes,Good,Above-7,H
STU0326,F,Germany,G-09,English,22,130,92,75,No,N/A,Under-7,H
STU0327,M,Nigeria,G-11,Science,6,144,66,67,No,N/A,Above-7,H
STU0328,F,Germany,G-09,Chemistry,22,36,5,26,No,N/A,Above-7,L
STU0329,F,UK,G-09,Science,21,30,36,35,No,N/A,Above-7,M
STU0330,M,India,G-08,Science,77,27,29,35,Yes,Good,Under-7,M
STU0331,M,US,G-04,History,68,49,0,62,Yes,Bad,Under-7,M
STU0332,F,Germany,G-11,History,16,116,37,14,Yes,Bad,Above-7,M
STU0333,F,Nigeria,G-05,Chemistry,17,71,93,14,No,N/A,Under-7,M
STU0334,M,UK,G-09,Math,64,85,35,58,Yes,Bad,Under-7,H
STU0335,F,UK,G-12,Science,24,142,84,80,Yes,Good,Under-7,H
STU0336,M,Germany,G-07,Biology,25,67,60,19,No,N/A,Under-7,M
STU0337,F,Nigeria,G-06,Math,81,22,66,27,Yes,Bad,Under-7,M
STU0338,F,China,G-06,IT,53,67,78,48,Yes,Bad,Above-7,H
STU0339,M,Nigeria,G-07,Science,85,124,62,80,No,N/A,Above-7,H
STU0340,F,Nigeria,G-05,Math,14,73,53,57,No,N/A,Under-7,M
STU0341,F,UK,G-06,English,40,29,44,50,Yes,Bad,Above-7,M
STU0342,F,China,G-04,Science,34,129,27,52,Yes,Bad,Above-7,H
STU0343,F,Germany,G-10,Chemistry,56,108,51,33,Yes,Bad,Above-7,H
STU0344,M,Brazil,G-04,Science,57,104,28,73,Yes,Good,Under-7,H
STU0345,F,India,G-12,IT,92,5,48,11,No,N/A,Above-7,M
STU0346,M,US,G-12,Math,46,137,25,20,No,N/A,Under-7,H
STU0347,F,India,G-09,Science,52,55,70,31,Yes,Good,Under-7,H
STU0348,M,Germany,G-11,IT,20,72,38,3,Yes,Good,Under-7,M
STU0349,F,UK,G-10,Biology,51,33,94,34,Yes,Good,Under-7,H
STU0350,F,US,G-04,Biology,69,38,12,75,No,N/A,Under-7,M
STU0351,F,Brazil,G-10,History,95,5,38,35,No,N/A,Under-7,M
